Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
28/02/2026,Stade Rennais FC,Toulouse FC,,,,,
28/02/2026,AS Monaco,Angers SCO,,,,,
28/02/2026,Havre Athletic Club,Paris SG,,,,,
01/03/2026,Paris FC,OGC Nice,,,,,
01/03/2026,LOSC Lille,FC Nantes,,,,,
01/03/2026,FC Lorient,AJ Auxerre,,,,,
01/03/2026,FC Metz,Stade Brestois 29,,,,,
01/03/2026,Olympique de Marseille,Olympique Lyonnais,,,,,
06/03/2026,Paris SG,AS Monaco,,,,,
07/03/2026,FC Nantes,Angers SCO,,,,,
07/03/2026,AJ Auxerre,RC Strasbourg Alsace,,,,,
07/03/2026,Toulouse FC,Olympique de Marseille,,,,,
08/03/2026,RC Lens,FC Metz,,,,,
08/03/2026,Stade Brestois 29,Havre Athletic Club,,,,,
08/03/2026,LOSC Lille,FC Lorient,,,,,
08/03/2026,OGC Nice,Stade Rennais FC,,,,,
08/03/2026,Olympique Lyonnais,Paris FC,,,,,
14/03/2026,Angers SCO,OGC Nice,,,,,
14/03/2026,Havre Athletic Club,Olympique Lyonnais,,,,,
14/03/2026,FC Lorient,RC Lens,,,,,
14/03/2026,Olympique de Marseille,AJ Auxerre,,,,,
14/03/2026,FC Metz,Toulouse FC,,,,,
14/03/2026,AS Monaco,Stade Brestois 29,,,,,
14/03/2026,Paris SG,FC Nantes,,,,,
14/03/2026,Stade Rennais FC,LOSC Lille,,,,,
14/03/2026,RC Strasbourg Alsace,Paris FC,,,,,
21/03/2026,AJ Auxerre,Stade Brestois 29,,,,,
21/03/2026,RC Lens,Angers SCO,,,,,
21/03/2026,Olympique Lyonnais,AS Monaco,,,,,
21/03/2026,Olympique de Marseille,LOSC Lille,,,,,
21/03/2026,FC Nantes,RC Strasbourg Alsace,,,,,
21/03/2026,OGC Nice,Paris SG,,,,,
21/03/2026,Paris FC,Havre Athletic Club,,,,,
21/03/2026,Stade Rennais FC,FC Metz,,,,,
21/03/2026,Toulouse FC,FC Lorient,,,,,
04/04/2026,Angers SCO,Olympique Lyonnais,,,,,
04/04/2026,Stade Brestois 29,Stade Rennais FC,,,,,
04/04/2026,Havre Athletic Club,AJ Auxerre,,,,,
04/04/2026,LOSC Lille,RC Lens,,,,,
04/04/2026,FC Lorient,Paris FC,,,,,
04/04/2026,FC Metz,FC Nantes,,,,,
04/04/2026,AS Monaco,Olympique de Marseille,,,,,
04/04/2026,Paris SG,Toulouse FC,,,,,
04/04/2026,RC Strasbourg Alsace,OGC Nice,,,,,
11/04/2026,AJ Auxerre,FC Nantes,,,,,
11/04/2026,Stade Brestois 29,RC Strasbourg Alsace,,,,,
11/04/2026,RC Lens,Paris SG,,,,,
11/04/2026,Olympique Lyonnais,FC Lorient,,,,,
11/04/2026,Olympique de Marseille,FC Metz,,,,,
11/04/2026,OGC Nice,Havre Athletic Club,,,,,
11/04/2026,Paris FC,AS Monaco,,,,,
11/04/2026,Stade Rennais FC,Angers SCO,,,,,
11/04/2026,Toulouse FC,LOSC Lille,,,,,
18/04/2026,Angers SCO,Havre Athletic Club,,,,,
18/04/2026,RC Lens,Toulouse FC,,,,,
18/04/2026,LOSC Lille,OGC Nice,,,,,
18/04/2026,FC Lorient,Olympique de Marseille,,,,,
18/04/2026,FC Metz,Paris FC,,,,,
18/04/2026,AS Monaco,AJ Auxerre,,,,,
18/04/2026,FC Nantes,Stade Brestois 29,,,,,
18/04/2026,Paris SG,Olympique Lyonnais,,,,,
18/04/2026,RC Strasbourg Alsace,Stade Rennais FC,,,,,
25/04/2026,Angers SCO,Paris SG,,,,,
25/04/2026,Stade Brestois 29,RC Lens,,,,,
25/04/2026,Havre Athletic Club,FC Metz,,,,,
25/04/2026,FC Lorient,RC Strasbourg Alsace,,,,,
25/04/2026,Olympique Lyonnais,AJ Auxerre,,,,,
25/04/2026,Olympique de Marseille,OGC Nice,,,,,
25/04/2026,Paris FC,LOSC Lille,,,,,
25/04/2026,Stade Rennais FC,FC Nantes,,,,,
25/04/2026,Toulouse FC,AS Monaco,,,,,
02/05/2026,AJ Auxerre,Angers SCO,,,,,
02/05/2026,LOSC Lille,Havre Athletic Club,,,,,
02/05/2026,Olympique Lyonnais,Stade Rennais FC,,,,,
02/05/2026,FC Metz,AS Monaco,,,,,
02/05/2026,FC Nantes,Olympique de Marseille,,,,,
02/05/2026,OGC Nice,RC Lens,,,,,
02/05/2026,Paris FC,Stade Brestois 29,,,,,
02/05/2026,Paris SG,FC Lorient,,,,,
02/05/2026,RC Strasbourg Alsace,Toulouse FC,,,,,
08/05/2026,Angers SCO,RC Strasbourg Alsace,,,,,
08/05/2026,AJ Auxerre,OGC Nice,,,,,
08/05/2026,Havre Athletic Club,Olympique de Marseille,,,,,
08/05/2026,RC Lens,FC Nantes,,,,,
08/05/2026,FC Metz,FC Lorient,,,,,
08/05/2026,AS Monaco,LOSC Lille,,,,,
08/05/2026,Paris SG,Stade Brestois 29,,,,,
08/05/2026,Stade Rennais FC,Paris FC,,,,,
08/05/2026,Toulouse FC,Olympique Lyonnais,,,,,
15/05/2026,Stade Brestois 29,Angers SCO,,,,,
15/05/2026,LOSC Lille,AJ Auxerre,,,,,
15/05/2026,FC Lorient,Havre Athletic Club,,,,,
15/05/2026,Olympique Lyonnais,RC Lens,,,,,
15/05/2026,Olympique de Marseille,Stade Rennais FC,,,,,
15/05/2026,FC Nantes,Toulouse FC,,,,,
15/05/2026,OGC Nice,FC Metz,,,,,
15/05/2026,Paris FC,Paris SG,,,,,
15/05/2026,RC Strasbourg Alsace,AS Monaco,,,,,
