Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
04/03/2026,Hamburger SV,Bayer 04 Leverkusen,,,,,
28/02/2026,TSG Hoffenheim,FC St. Pauli,,,,,
28/02/2026,Borussia Mönchengladbach,1. FC Union Berlin,,,,,
28/02/2026,SV Werder Bremen,1. FC Heidenheim 1846,,,,,
28/02/2026,Bayer 04 Leverkusen,1. FSV Mainz 05,,,,,
28/02/2026,Borussia Dortmund,FC Bayern München,,,,,
01/03/2026,VfB Stuttgart,VfL Wolfsburg,,,,,
01/03/2026,Ein Frankfurt,Sport-Club Freiburg,,,,,
01/03/2026,Hamburger SV,RB Leipzig,,,,,
06/03/2026,FC Bayern München,Borussia Mönchengladbach,,,,,
07/03/2026,1. FC Heidenheim 1846,TSG Hoffenheim,,,,,
07/03/2026,VfL Wolfsburg,Hamburger SV,,,,,
07/03/2026,RB Leipzig,FC Augsburg,,,,,
07/03/2026,1. FSV Mainz 05,VfB Stuttgart,,,,,
07/03/2026,Sport-Club Freiburg,Bayer 04 Leverkusen,,,,,
07/03/2026,1. FC Köln,Borussia Dortmund,,,,,
08/03/2026,FC St. Pauli,Ein Frankfurt,,,,,
08/03/2026,1. FC Union Berlin,SV Werder Bremen,,,,,
13/03/2026,Borussia Mönchengladbach,FC St. Pauli,,,,,
14/03/2026,TSG Hoffenheim,VfL Wolfsburg,,,,,
14/03/2026,Borussia Dortmund,FC Augsburg,,,,,
14/03/2026,Ein Frankfurt,1. FC Heidenheim 1846,,,,,
14/03/2026,Bayer 04 Leverkusen,FC Bayern München,,,,,
14/03/2026,Hamburger SV,1. FC Köln,,,,,
15/03/2026,SV Werder Bremen,1. FSV Mainz 05,,,,,
15/03/2026,Sport-Club Freiburg,1. FC Union Berlin,,,,,
15/03/2026,VfB Stuttgart,RB Leipzig,,,,,
20/03/2026,RB Leipzig,TSG Hoffenheim,,,,,
21/03/2026,1. FC Köln,Borussia Mönchengladbach,,,,,
21/03/2026,1. FC Heidenheim 1846,Bayer 04 Leverkusen,,,,,
