Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
28/02/2026,Como,Lecce,,,,,
28/02/2026,Verona,Napoli,,,,,
28/02/2026,Inter,Genoa,,,,,
01/03/2026,Cremonese,Milan,,,,,
01/03/2026,Sassuolo,Atalanta,,,,,
01/03/2026,Torino,Lazio,,,,,
01/03/2026,Roma,Juventus,,,,,
02/03/2026,Pisa,Bologna,,,,,
02/03/2026,Udinese,Fiorentina,,,,,
08/03/2026,Napoli,Torino,,,,,
08/03/2026,Atalanta,Udinese,,,,,
08/03/2026,Cagliari,Como,,,,,
08/03/2026,Fiorentina,Parma,,,,,
08/03/2026,Genoa,Roma,,,,,
08/03/2026,Juventus,Pisa,,,,,
08/03/2026,Lazio,Sassuolo,,,,,
08/03/2026,Lecce,Cremonese,,,,,
08/03/2026,Milan,Inter,,,,,
08/03/2026,Bologna,Verona,,,,,
15/03/2026,Como,Roma,,,,,
15/03/2026,Cremonese,Fiorentina,,,,,
15/03/2026,Inter,Atalanta,,,,,
15/03/2026,Lazio,Milan,,,,,
15/03/2026,Napoli,Lecce,,,,,
15/03/2026,Pisa,Cagliari,,,,,
15/03/2026,Sassuolo,Bologna,,,,,
15/03/2026,Torino,Parma,,,,,
15/03/2026,Udinese,Juventus,,,,,
15/03/2026,Verona,Genoa,,,,,
22/03/2026,Atalanta,Verona,,,,,
22/03/2026,Bologna,Lazio,,,,,
22/03/2026,Cagliari,Napoli,,,,,
22/03/2026,Como,Pisa,,,,,
22/03/2026,Fiorentina,Inter,,,,,
22/03/2026,Genoa,Udinese,,,,,
22/03/2026,Juventus,Sassuolo,,,,,
22/03/2026,Milan,Torino,,,,,
22/03/2026,Parma,Cremonese,,,,,
22/03/2026,Roma,Lecce,,,,,
04/04/2026,Cremonese,Bologna,,,,,
04/04/2026,Inter,Roma,,,,,
04/04/2026,Juventus,Genoa,,,,,
04/04/2026,Lazio,Parma,,,,,
04/04/2026,Lecce,Atalanta,,,,,
04/04/2026,Napoli,Milan,,,,,
04/04/2026,Pisa,Torino,,,,,
04/04/2026,Sassuolo,Cagliari,,,,,
04/04/2026,Udinese,Como,,,,,
04/04/2026,Verona,Fiorentina,,,,,
12/04/2026,Atalanta,Juventus,,,,,
12/04/2026,Bologna,Lecce,,,,,
12/04/2026,Cagliari,Cremonese,,,,,
12/04/2026,Como,Inter,,,,,
12/04/2026,Fiorentina,Lazio,,,,,
12/04/2026,Genoa,Sassuolo,,,,,
12/04/2026,Milan,Udinese,,,,,
12/04/2026,Parma,Napoli,,,,,
12/04/2026,Roma,Pisa,,,,,
12/04/2026,Torino,Verona,,,,,
19/04/2026,Inter,Cagliari,,,,,
19/04/2026,Juventus,Bologna,,,,,
19/04/2026,Lecce,Fiorentina,,,,,
19/04/2026,Napoli,Lazio,,,,,
19/04/2026,Pisa,Genoa,,,,,
19/04/2026,Roma,Atalanta,,,,,
19/04/2026,Sassuolo,Como,,,,,
19/04/2026,Udinese,Parma,,,,,
19/04/2026,Verona,Milan,,,,,
19/04/2026,Cremonese,Torino,,,,,
26/04/2026,Bologna,Roma,,,,,
26/04/2026,Cagliari,Atalanta,,,,,
26/04/2026,Fiorentina,Sassuolo,,,,,
26/04/2026,Genoa,Como,,,,,
26/04/2026,Lazio,Udinese,,,,,
26/04/2026,Milan,Juventus,,,,,
26/04/2026,Napoli,Cremonese,,,,,
26/04/2026,Parma,Pisa,,,,,
26/04/2026,Torino,Inter,,,,,
26/04/2026,Verona,Lecce,,,,,
03/05/2026,Atalanta,Genoa,,,,,
03/05/2026,Bologna,Cagliari,,,,,
03/05/2026,Como,Napoli,,,,,
03/05/2026,Cremonese,Lazio,,,,,
03/05/2026,Inter,Parma,,,,,
03/05/2026,Juventus,Verona,,,,,
03/05/2026,Pisa,Lecce,,,,,
03/05/2026,Roma,Fiorentina,,,,,
03/05/2026,Sassuolo,Milan,,,,,
03/05/2026,Udinese,Torino,,,,,
10/05/2026,Verona,Como,,,,,
10/05/2026,Cagliari,Udinese,,,,,
10/05/2026,Cremonese,Pisa,,,,,
10/05/2026,Fiorentina,Genoa,,,,,
10/05/2026,Lazio,Inter,,,,,
10/05/2026,Lecce,Juventus,,,,,
10/05/2026,Milan,Atalanta,,,,,
10/05/2026,Napoli,Bologna,,,,,
10/05/2026,Parma,Roma,,,,,
10/05/2026,Torino,Sassuolo,,,,,
17/05/2026,Atalanta,Bologna,,,,,
17/05/2026,Cagliari,Torino,,,,,
17/05/2026,Como,Parma,,,,,
17/05/2026,Genoa,Milan,,,,,
17/05/2026,Inter,Verona,,,,,
17/05/2026,Juventus,Fiorentina,,,,,
17/05/2026,Pisa,Napoli,,,,,
17/05/2026,Roma,Lazio,,,,,
17/05/2026,Sassuolo,Lecce,,,,,
17/05/2026,Udinese,Cremonese,,,,,
24/05/2026,Bologna,Inter,,,,,
24/05/2026,Cremonese,Como,,,,,
24/05/2026,Fiorentina,Atalanta,,,,,
24/05/2026,Lazio,Pisa,,,,,
24/05/2026,Lecce,Genoa,,,,,
24/05/2026,Milan,Cagliari,,,,,
24/05/2026,Napoli,Udinese,,,,,
24/05/2026,Parma,Sassuolo,,,,,
24/05/2026,Torino,Juventus,,,,,
24/05/2026,Verona,Roma,,,,,
